Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.10,3.04.1,3.04,adaxial,0.7328866940191066,0.6327971360798983
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.11,3.04.1,3.04,adaxial,0.6350360223063629,0.7846095009364191
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.12,3.04.1,3.04,adaxial,0.784799125016404,0.7724039942025959
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.13,3.04.1,3.04,adaxial,0.6304919305505884,0.715634852893163
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.14,3.04.1,3.04,adaxial,0.7611001333270114,0.6714914395259362
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.15,3.04.1,3.04,adaxial,0.7743688332909888,0.7990469890858417
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.16,3.04.1,3.04,adaxial,0.7641842598822152,0.8681504797500093
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.17,3.04.1,3.04,adaxial,0.4202030494461961,0.7021000123670547
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.18,3.04.1,3.04,adaxial,0.4219695777164187,0.7320438841079945
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.19,3.04.1,3.04,adaxial,0.5779668733056764,0.8031229342322832
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.2,3.04.1,3.04,adaxial,0.6933869501791663,0.6658459116991413
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.20,3.04.1,3.04,adaxial,0.7281296959773504,0.79250015226276
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.21,3.04.1,3.04,adaxial,0.6929481257878651,0.9129421986382609
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.22,3.04.1,3.04,adaxial,0.8185565069962514,0.7036608424327451
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.23,3.04.1,3.04,adaxial,0.4922160928024945,0.7370435345556421
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.24,3.04.1,3.04,adaxial,0.6740574095307227,0.8459702181635661
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.25,3.04.1,3.04,adaxial,0.5059886620192311,0.6784912720967409
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.26,3.04.1,3.04,adaxial,0.5361939983368296,0.6268275790040396
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.27,3.04.1,3.04,adaxial,0.38820793340782345,0.826754296227656
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.28,3.04.1,3.04,adaxial,0.5703315050320502,0.5921450345705147
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.29,3.04.1,3.04,adaxial,0.7031178414130085,0.9452794641572216
